C1,C2
1,1477
2,1078
3,885
4,740
5,637
6,538
7,479
8,411
9,344
10,320
11,305
12,279
13,241
14,224
15,221
16,204
17,205
18,202
19,143
20,205
21,172
22,152
23,145
24,150
25,117
26,133
27,119
28,103
29,109
30,109
31,111
32,109
33,97
34,103
35,89
36,82
37,88
38,88
39,65
40,90
41,73
42,80
43,65
44,61
45,74
46,65
47,66
48,58
49,54
50,50
51,62
52,51
53,68
54,65
55,70
56,53
57,48
58,52
59,53
60,53
61,58
62,46
63,53
64,40
65,38
66,39
67,33
68,37
69,37
70,53
71,40
72,40
73,29
74,33
75,37
76,32
77,28
78,35
79,25
80,33
81,29
82,29
83,30
84,29
85,27
86,26
87,32
88,22
89,29
90,29
91,30
92,15
93,27
94,30
95,36
96,24
97,27
98,17
99,33
100,19
101,29
102,24
103,21
104,19
105,28
106,16
107,30
108,19
109,15
110,15
111,14
112,19
113,16
114,31
115,19
116,19
117,24
118,12
119,19
120,11
121,18
122,23
123,17
124,25
125,18
126,21
127,14
128,20
129,18
130,15
131,19
132,14
133,17
134,16
135,14
136,11
137,13
138,11
139,13
140,9
141,14
142,11
143,5
144,15
145,12
146,12
147,9
148,7
149,6
150,7
151,6
152,9
153,12
154,6
155,7
156,10
157,7
158,6
159,6
160,9
161,6
162,11
163,9
164,7
165,8
166,7
167,9
168,8
169,7
170,4
171,11
172,10
173,7
174,3
175,6
176,8
177,4
178,8
179,7
180,7
181,4
182,4
183,5
184,5
185,6
186,2
187,3
188,3
189,5
190,2
191,2
192,4
193,4
194,7
195,7
196,9
197,7
198,6
199,5
200,4
201,5
202,2
203,10
204,3
206,2
207,3
208,2
209,3
210,3
211,3
212,2
213,3
214,4
215,3
216,2
217,2
218,5
219,3
220,2
221,1
222,3
223,5
224,2
225,3
226,1
227,3
228,5
229,4
230,2
231,1
232,4
233,4
234,3
235,3
236,1
237,2
238,3
239,1
240,2
242,3
243,1
244,4
245,2
246,1
247,2
250,1
251,2
253,1
254,1
255,1
257,1
258,1
260,1
261,4
262,1
265,2
266,1
267,1
269,1
270,3
271,3
273,1
275,1
279,3
280,1
281,1
282,1
283,1
285,2
287,1
289,1
292,1
295,2
296,2
297,1
299,2
301,2
303,1
304,1
312,2
314,2
321,1
329,1
330,1
335,1
347,1
352,1
373,1
375,1
