C1,C2
1,307
2,213
3,161
4,154
5,124
6,110
7,93
8,105
9,75
10,78
11,77
12,77
13,70
14,72
15,60
16,71
17,58
18,61
19,46
20,51
21,46
22,46
23,32
24,35
25,58
26,48
27,43
28,30
29,35
30,19
31,36
32,21
33,28
34,42
35,36
36,28
37,27
38,31
39,24
40,23
41,21
42,39
43,21
44,20
45,25
46,26
47,19
48,29
49,29
50,22
51,17
52,24
53,16
54,23
55,23
56,16
57,12
58,15
59,20
60,8
61,14
62,11
63,14
64,18
65,14
66,13
67,19
68,13
69,12
70,15
71,16
72,11
73,16
74,20
75,14
76,14
77,7
78,15
79,13
80,12
81,9
82,4
83,11
84,3
85,12
86,13
87,17
88,6
89,10
90,7
91,6
92,7
93,9
94,9
95,6
96,6
97,9
98,5
99,5
100,8
101,3
102,7
103,9
104,5
105,6
106,11
107,8
108,3
109,3
110,7
111,7
112,11
113,8
114,3
115,8
116,4
117,5
118,10
119,7
120,6
121,3
122,10
123,8
124,5
125,7
126,1
127,6
128,3
129,5
130,4
131,5
132,3
133,4
134,1
135,5
136,5
137,2
138,4
139,1
140,4
141,11
142,2
143,5
144,4
145,3
146,3
147,3
148,6
149,2
150,2
152,2
153,7
154,4
155,1
156,1
157,2
158,4
159,2
160,1
161,19
162,4
163,2
164,3
165,3
166,1
167,3
168,4
169,3
170,3
172,3
173,3
174,1
175,2
176,3
177,1
180,4
181,3
182,1
183,2
184,4
185,2
186,2
189,1
190,3
191,2
194,3
195,2
196,8
198,2
199,2
200,3
201,1
202,4
203,1
207,1
212,1
213,3
216,2
218,1
219,1
220,1
226,1
227,1
228,1
229,1
230,1
234,1
235,1
238,1
243,1
244,1
246,1
249,1
251,1
256,1
266,1
272,1
274,1
276,1
334,1
357,1
362,1
