C1,C2
1,675
2,422
3,322
4,233
5,179
6,172
7,135
8,141
9,124
10,120
11,95
12,73
13,76
14,68
15,67
16,59
17,80
18,75
19,52
20,45
21,47
22,53
23,43
24,30
25,42
26,32
27,30
28,21
29,22
30,28
31,26
32,23
33,12
34,14
35,26
36,28
37,23
38,19
39,24
40,10
41,13
42,16
43,10
44,14
45,10
46,9
47,8
48,8
49,10
50,6
51,6
52,7
53,8
54,6
55,12
56,3
57,3
58,4
59,5
60,6
61,4
62,12
63,8
64,5
65,9
66,2
67,7
68,9
69,4
70,7
71,2
72,2
73,6
74,1
75,4
76,6
77,2
78,4
79,3
80,2
81,1
82,2
83,4
84,4
85,1
86,1
88,1
89,7
90,6
91,2
92,2
94,5
95,3
96,2
97,1
98,3
99,1
100,2
102,3
103,4
104,5
105,6
106,1
107,3
108,2
110,2
112,1
113,1
116,1
117,2
118,3
119,1
122,1
123,1
125,1
127,2
128,2
130,1
134,1
141,1
144,1
147,1
148,2
149,4
150,19
152,2
153,16
156,3
157,3
160,1
162,1
166,1
170,1
172,1
173,2
175,1
183,1
186,1
187,1
190,14
193,1
198,1
203,2
204,1
211,2
214,1
218,17
221,1
224,1
326,1
397,1
