C1,C2
1,150
2,119
3,88
4,75
5,75
6,69
7,55
8,42
9,35
10,31
11,19
12,31
13,23
14,16
15,20
16,21
17,18
18,28
19,17
20,18
21,22
22,18
23,18
24,16
25,9
26,19
27,19
28,22
29,15
30,15
31,12
32,10
33,10
34,14
35,13
36,13
37,17
38,17
39,9
40,12
41,17
42,21
43,9
44,7
45,9
46,9
47,11
48,8
49,8
50,8
51,7
52,11
53,8
54,12
55,7
56,10
57,8
58,9
59,5
60,9
61,3
62,10
63,10
64,5
65,12
66,12
67,5
68,11
69,5
70,9
71,9
72,7
73,4
74,7
75,9
76,3
77,9
78,6
79,3
80,2
81,1
82,3
83,8
84,6
85,1
86,3
87,5
88,9
89,5
90,5
91,4
92,2
93,4
94,3
95,1
96,3
97,5
98,6
99,5
100,3
101,2
102,5
103,1
104,9
105,3
106,4
107,6
108,2
109,4
110,4
111,4
112,7
113,4
114,2
115,4
116,6
117,2
118,2
119,3
120,1
121,1
122,6
123,5
124,3
125,2
126,3
127,3
128,7
129,6
130,2
131,3
132,2
133,3
134,1
135,5
136,2
137,1
138,2
139,1
140,5
141,4
142,2
143,4
145,2
146,2
147,1
148,3
149,1
150,4
152,2
153,1
154,2
155,1
157,1
158,1
159,2
160,3
161,3
162,3
163,2
164,1
165,1
166,4
167,1
168,5
169,2
170,3
171,16
173,5
174,2
176,2
177,2
178,3
179,2
183,2
184,1
185,2
186,3
187,1
188,1
191,1
192,1
193,4
194,1
195,2
197,2
198,1
199,1
200,1
201,1
202,2
204,3
205,1
206,4
207,2
209,1
212,1
213,1
217,4
218,1
219,1
220,1
221,1
222,2
223,1
224,2
226,1
228,2
232,1
233,1
234,4
236,2
237,1
239,1
240,1
243,2
245,1
246,1
255,6
257,1
258,1
260,5
262,6
263,2
264,2
265,2
267,1
268,1
269,1
270,4
271,3
275,1
276,1
279,1
282,2
285,1
286,1
288,1
293,1
295,2
301,1
309,3
312,16
313,1
315,1
317,3
320,1
321,2
326,1
333,2
337,1
339,1
341,1
347,1
348,1
349,1
352,2
359,1
369,1
370,2
373,1
399,1
405,1
406,2
410,1
411,1
412,1
419,17
472,2
