C1,C2
1,197
2,124
3,118
4,76
5,100
6,105
7,67
8,72
9,51
10,68
11,52
12,39
13,47
14,35
15,48
16,27
17,35
18,32
19,33
20,20
21,32
22,42
23,26
24,32
25,15
26,18
27,16
28,20
29,20
30,10
31,14
32,12
33,22
34,11
35,10
36,14
37,13
38,10
39,11
40,14
41,7
42,12
43,11
44,12
45,9
46,4
47,12
48,7
49,7
50,7
51,2
52,8
53,7
54,10
55,7
56,7
57,3
58,5
59,4
60,3
61,4
62,2
63,2
64,8
65,5
66,6
67,7
68,5
69,3
70,9
71,2
72,2
73,2
75,5
76,5
77,4
78,1
79,5
81,2
82,2
83,1
84,6
85,1
86,1
87,1
88,1
90,9
91,2
92,1
93,2
96,1
98,1
101,1
106,1
107,1
108,1
111,1
113,1
117,1
122,16
127,1
132,1
134,16
144,1
147,1
167,1
