C1,C2
1,2125
2,1167
3,741
4,530
5,384
6,277
7,245
8,216
9,148
10,135
11,119
12,99
13,99
14,75
15,74
16,60
17,48
18,64
19,49
20,34
21,34
22,50
23,26
24,36
25,35
26,22
27,37
28,24
29,24
30,16
31,23
32,13
33,13
34,23
35,9
36,12
37,7
38,8
39,11
40,21
41,10
42,5
43,9
44,6
45,5
46,11
47,5
48,4
49,5
50,7
51,4
53,6
54,4
55,3
56,1
57,3
58,2
59,2
60,2
61,1
62,4
63,1
64,2
65,3
66,4
67,4
69,2
70,1
72,1
73,1
74,1
76,2
77,2
78,1
81,1
82,2
84,1
85,1
87,1
89,1
93,1
97,1
104,1
105,1
110,2
116,1
119,1
141,1
176,1
