C1,C2
1,3031
2,1465
3,955
4,661
5,509
6,379
7,292
8,218
9,208
10,180
11,150
12,122
13,108
14,97
15,84
16,98
17,77
18,66
19,52
20,61
21,40
22,40
23,41
24,28
25,30
26,22
27,24
28,28
29,27
30,23
31,21
32,10
33,18
34,8
35,21
36,18
37,11
38,7
39,8
40,6
41,6
42,7
43,5
44,9
45,6
46,10
47,7
48,8
49,5
50,5
51,3
52,5
53,3
54,4
55,6
56,2
57,1
58,3
59,1
60,5
61,4
62,4
63,4
64,1
65,4
66,2
67,3
68,1
69,4
70,3
71,1
72,3
73,2
74,3
75,1
76,3
77,2
78,2
79,2
80,1
81,1
82,1
83,1
85,1
86,1
87,1
88,1
90,2
91,3
92,1
93,1
95,1
97,1
98,1
99,1
102,3
106,1
107,1
108,3
112,1
113,1
120,1
128,1
129,1
133,1
137,1
138,1
140,1
155,1
157,1
165,1
166,1
266,1
308,1
