C1,C2
1,346
2,170
3,144
4,147
5,136
6,157
7,143
8,124
9,132
10,106
11,115
12,120
13,125
14,90
15,95
16,99
17,86
18,107
19,78
20,83
21,62
22,84
23,62
24,72
25,69
26,75
27,65
28,58
29,50
30,53
31,60
32,62
33,47
34,51
35,44
36,57
37,47
38,48
39,39
40,43
41,41
42,45
43,35
44,39
45,36
46,41
47,29
48,29
49,37
50,32
51,35
52,36
53,28
54,26
55,22
56,30
57,29
58,24
59,29
60,42
61,30
62,30
63,20
64,22
65,18
66,30
67,20
68,21
69,25
70,24
71,24
72,19
73,22
74,18
75,20
76,21
77,20
78,21
79,20
80,14
81,14
82,18
83,12
84,10
85,15
86,19
87,17
88,12
89,15
90,13
91,16
92,9
93,11
94,8
95,11
96,15
97,7
98,13
99,15
100,13
101,14
102,9
103,12
104,10
105,10
106,15
107,8
108,9
109,8
110,14
111,11
112,10
113,9
114,21
115,7
116,7
117,14
118,9
119,13
120,8
121,6
122,6
123,10
124,11
125,14
126,7
127,6
128,9
129,12
130,10
131,7
132,8
133,4
134,7
135,9
136,8
137,6
138,6
139,4
140,6
141,1
142,8
143,10
144,7
145,7
146,5
147,11
148,6
149,4
150,5
151,7
152,4
153,6
154,12
155,3
156,3
157,7
158,6
159,2
160,5
161,4
162,4
163,2
164,3
165,3
166,5
167,4
168,3
169,3
170,5
171,3
172,5
173,2
174,3
175,3
176,3
177,2
178,2
179,1
180,2
181,6
182,1
183,3
184,3
185,3
186,1
187,4
188,2
189,5
190,4
191,4
192,4
193,2
194,3
195,6
196,2
198,5
199,4
201,2
202,7
203,7
204,1
205,1
206,3
207,1
208,2
209,4
210,2
211,6
213,1
214,3
215,3
216,1
217,3
218,3
220,3
221,2
223,2
224,2
225,4
226,2
227,3
228,1
229,3
230,4
231,2
232,2
235,1
237,2
239,4
240,2
241,2
242,2
243,4
244,3
245,1
246,3
248,1
249,4
251,1
252,5
253,2
255,4
256,3
257,1
258,1
259,4
260,3
261,1
262,1
264,1
265,2
266,1
267,1
268,2
269,2
271,1
273,1
274,2
276,2
278,1
279,3
280,1
281,1
282,1
285,1
289,3
290,2
291,1
292,1
293,2
294,1
296,1
298,2
299,1
301,1
302,1
303,1
304,1
305,1
306,1
308,2
310,1
312,2
313,1
314,1
315,1
317,1
318,1
320,2
322,1
324,2
325,1
327,2
329,2
331,1
334,4
336,1
337,1
340,1
343,1
345,1
346,1
347,1
349,1
351,1
352,2
359,1
364,1
372,1
375,1
377,2
378,3
381,1
382,1
385,1
386,2
387,1
394,1
395,2
396,1
398,1
400,1
405,1
406,1
408,1
411,1
413,1
414,1
415,2
417,1
421,1
426,1
427,2
429,2
430,1
432,1
434,1
443,1
447,1
448,1
454,1
460,1
477,1
489,1
501,1
522,1
530,1
542,1
548,1
551,1
602,1
800,1
818,1
1132,1
1187,1
1234,1
2557,1
