C1,C2
1,1975
2,1351
3,1011
4,682
5,581
6,529
7,421
8,400
9,349
10,309
11,291
12,266
13,256
14,230
15,233
16,229
17,224
18,186
19,198
20,202
21,182
22,188
23,168
24,199
25,141
26,158
27,144
28,159
29,147
30,137
31,148
32,130
33,127
34,125
35,160
36,135
37,111
38,116
39,112
40,146
41,103
42,112
43,114
44,86
45,108
46,106
47,107
48,110
49,97
50,108
51,90
52,74
53,75
54,89
55,87
56,63
57,70
58,75
59,79
60,58
61,83
62,91
63,72
64,77
65,81
66,68
67,91
68,73
69,80
70,65
71,74
72,88
73,86
74,70
75,51
76,61
77,85
78,70
79,63
80,66
81,68
82,57
83,74
84,64
85,73
86,64
87,58
88,67
89,62
90,68
91,47
92,55
93,58
94,63
95,59
96,65
97,55
98,55
99,49
100,46
101,54
102,46
103,58
104,57
105,49
106,61
107,48
108,38
109,56
110,50
111,52
112,46
113,64
114,48
115,51
116,47
117,48
118,52
119,59
120,47
121,57
122,52
123,47
124,40
125,47
126,50
127,46
128,53
129,38
130,48
131,53
132,63
133,40
134,45
135,52
136,35
137,39
138,42
139,41
140,45
141,35
142,39
143,36
144,35
145,39
146,51
147,39
148,46
149,34
150,40
151,29
152,41
153,37
154,30
155,35
156,40
157,43
158,34
159,45
160,42
161,40
162,31
163,33
164,43
165,29
166,34
167,34
168,42
169,29
170,41
171,37
172,37
173,39
174,37
175,37
176,31
177,39
178,27
179,32
180,36
181,28
182,39
183,35
184,34
185,35
186,39
187,40
188,32
189,42
190,34
191,45
192,35
193,39
194,26
195,44
196,32
197,23
198,35
199,31
200,31
201,36
202,35
203,29
204,21
205,30
206,38
207,23
208,29
209,29
210,46
211,27
212,32
213,35
214,35
215,33
216,26
217,26
218,28
219,26
220,28
221,31
222,25
223,28
224,35
225,33
226,29
227,35
228,31
229,24
230,28
231,28
232,30
233,29
234,25
235,29
236,24
237,19
238,31
239,17
240,23
241,23
242,22
243,32
244,32
245,31
246,32
247,18
248,19
249,20
250,28
251,26
252,28
253,26
254,23
255,23
256,24
257,19
258,30
259,27
260,24
261,17
262,31
263,20
264,32
265,36
266,22
267,30
268,27
269,32
270,29
271,18
272,22
273,27
274,33
275,18
276,23
277,18
278,19
279,21
280,26
281,21
282,15
283,16
284,32
285,26
286,19
287,21
288,24
289,17
290,21
291,20
292,17
293,21
294,28
295,30
296,24
297,26
298,27
299,28
300,19
301,18
302,26
303,24
304,23
305,25
306,22
307,19
308,21
309,22
310,22
311,29
312,23
313,20
314,30
315,18
316,14
317,14
318,22
319,17
320,27
321,13
322,19
323,28
324,32
325,27
326,19
327,22
328,19
329,11
330,24
331,23
332,12
333,15
334,27
335,20
336,19
337,17
338,17
339,23
340,20
341,25
342,16
343,15
344,17
345,17
346,29
347,13
348,24
349,14
350,19
351,17
352,20
353,20
354,23
355,21
356,16
357,21
358,11
359,21
360,25
361,27
362,27
363,25
364,21
365,15
366,12
367,18
368,13
369,20
370,18
371,20
372,17
373,16
374,28
375,26
376,17
377,24
378,17
379,13
380,20
381,9
382,18
383,19
384,17
385,30
386,19
387,20
388,22
389,12
390,20
391,18
392,24
393,14
394,21
395,16
396,20
397,16
398,13
399,25
400,24
401,20
402,23
403,14
404,22
405,14
406,18
407,21
408,22
409,16
410,17
411,22
412,16
413,15
414,18
415,18
416,28
417,23
418,21
419,17
420,23
421,20
422,18
423,22
424,19
425,10
426,21
427,17
428,18
429,18
430,21
431,21
432,19
433,13
434,16
435,21
436,11
437,12
438,17
439,14
440,18
441,23
442,18
443,21
444,14
445,18
446,13
447,17
448,11
449,17
450,20
451,20
452,16
453,19
454,19
455,16
456,13
457,17
458,15
459,10
460,18
461,10
462,14
463,19
464,18
465,15
466,19
467,22
468,9
469,14
470,27
471,10
472,17
473,15
474,15
475,21
476,10
477,15
478,14
479,7
480,15
481,10
482,14
483,18
484,13
485,19
486,26
487,15
488,14
489,15
490,16
491,12
492,13
493,19
494,22
495,11
496,15
497,19
498,20
499,19
500,9
501,19
502,21
503,14
504,21
505,13
506,18
507,15
508,15
509,19
510,16
511,12
512,18
513,14
514,15
515,17
516,21
517,16
518,14
519,16
520,19
521,15
522,22
523,14
524,12
525,14
526,16
527,7
528,20
529,11
530,16
531,16
532,16
533,13
534,16
535,15
536,13
537,18
538,8
539,9
540,20
541,14
542,22
543,8
544,14
545,13
546,18
547,6
548,17
549,10
550,21
551,7
552,10
553,13
554,13
555,9
556,12
557,14
558,17
559,15
560,7
561,11
562,18
563,9
564,9
565,16
566,21
567,22
568,19
569,15
570,8
571,17
572,12
573,15
574,12
575,10
576,12
577,18
578,17
579,18
580,14
581,12
582,12
583,8
584,18
585,10
586,13
587,6
588,12
589,16
590,13
591,16
592,10
593,14
594,11
595,12
596,9
597,16
598,9
599,13
600,10
601,11
602,12
603,13
604,12
605,10
606,20
607,8
608,19
609,19
610,14
611,21
612,13
613,18
614,15
615,13
616,10
617,9
618,11
619,11
620,20
621,16
622,14
623,17
624,15
625,13
626,11
627,13
628,15
629,6
630,16
631,12
632,15
633,17
634,13
635,8
636,17
637,11
638,15
639,12
640,12
641,15
642,21
643,7
644,13
645,14
646,14
647,14
648,11
649,14
650,21
651,14
652,15
653,4
654,8
655,13
656,6
657,9
658,15
659,14
660,9
661,11
662,9
663,13
664,10
665,13
666,13
667,23
668,13
669,17
670,15
671,11
672,12
673,15
674,13
675,14
676,10
677,14
678,16
679,17
680,10
681,14
682,12
683,19
684,12
685,15
686,9
687,19
688,11
689,7
690,10
691,10
692,14
693,14
694,12
695,13
696,10
697,9
698,10
699,13
700,5
701,12
702,15
