C1,C2
1,2005
2,1288
3,785
4,582
5,387
6,304
7,233
8,182
9,150
10,147
11,114
12,115
13,90
14,71
15,62
16,72
17,45
18,59
19,50
20,45
21,32
22,33
23,39
24,46
25,30
26,27
27,33
28,24
29,24
30,24
31,22
32,26
33,18
34,19
35,8
36,7
37,8
38,9
39,11
40,14
41,11
42,13
43,10
44,9
45,6
46,10
47,3
48,8
49,5
50,2
51,1
52,2
53,4
54,7
55,1
56,1
57,1
58,5
59,3
60,1
61,3
62,1
63,3
64,3
65,2
66,2
67,4
68,1
69,1
70,2
71,2
72,1
73,1
74,2
75,1
76,1
78,2
81,1
82,2
84,2
85,1
88,1
89,1
93,1
99,1
100,1
104,1
110,1
113,1
115,1
122,1
149,1
190,1
